source,target
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/surya-paloh-akhirnya-turun-gunung-langsung-kampanye-di-lombok-jaga-aturan-main-agar-pemilu-damai-78868-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/surya-paloh-minta-kader-nasdem-tak-recoki-partai-lain-urus-diri-kita-sendiri-187108-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/paloh-ngamuk-nasdem-dimanfaatkan-petualang-demi-kepentingan-politiknya-sial-benar-partai-ini-187097-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/bicara-soal-kekuasaan-surya-paloh-ingatkan-pemimpin-tinggalkan-nama-baik-47234-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/video-petuah-surya-paloh-untuk-pks-koalisi-atau-oposisi-di-era-prabowo-gibran-117752-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/surya-paloh-nasdem-siap-kalah-dan-menang-10602-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/usai-kpu-umumkan-pemenang-pilpres-dan-pileg-surya-paloh-bakal-temui-parpol-di-luar-koalisi-perubahan-103759-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/prabowo-ingin-rutin-bertemu-ketum-parpol-seminggu-sekali-226794-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/surya-paloh-umumkan-nasdem-bagian-pemerintahan-prabowo-gibran-insya-allah-jadi-peringan-beban-186095-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/surya-paloh-kita-bukan-orang-munafik-yang-kumpul-di-tengah-hiruk-pikuk-demokrasi-187102-mvk.html
https://www.merdeka.com/politik/paloh-ingatkan-kader-nasdem-jangan-buang-waktu-bicara-tidak-perlu-232980-mvk.html,https://www.merdeka.com/politik/video-murka-besar-surya-paloh-klarifikasi-kader-korupsi-nasdem-bubar-32528-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/peta-pilkada-2024-pdip-berpeluang-cuma-jadi-penonton-kesulitan-cari-koalisi-177265-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/dijodohkan-dengan-suswono-ridwan-kamil-kami-pengantinnya-kua-nya-adalah-gerindra-183046-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/percaya-diri-ridwan-kamil-dapat-endorse-prabowo-jokowi-di-pilkada-jakarta-kalau-tak-dukung-kenapa-diunggah-di-ig-227498-mvk.html
